Comprobante;Origen - Nombre de base de datos;Fecha;Vendedor - Nombre;Lista de precios - Descripción;Proveedor - Nombre;Artículo - Descripción;Artículo - Código;Color - Código;Talle - Descripción;Item - Cantidad;Item - Monto Neto
FCV B 0001-00000188;CORDOBA2;06/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;54;1;44655,1884
FCV B 0050-00000028;CORDOBA2;29/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;G3;M;1;88654,145
FCV B 0001-00000129;CORDOBA2;14/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;G1;M;1;79177,6066
FCV A 0001-00000007;CORDOBA2;16/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;42;1;45988,0743
FCV B 0001-00000189;CORDOBA2;06/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;48;1;54633,3368
FCV B 0050-00000046;CORDOBA2;05/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;48;1;46023,021
FCV B 0001-00000189;CORDOBA2;06/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;48;1;54633,3316
FCV B 0001-00000099;CORDOBA2;06/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;48;1;53000
FCV A 0001-00000007;CORDOBA2;16/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;46;6;275928,4467
FCV B 0050-00000020;CORDOBA2;25/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;46;1;54899,9987
FCV B 0001-00000105;CORDOBA2;07/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;42;1;52999,9995
FCV B 0001-00000188;CORDOBA2;06/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;54;1;44655,1884
FCV B 0050-00000041;CORDOBA2;04/05/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;G3;MG;1;81419,8858
FCV B 0001-00000001;CORDOBA2;02/02/2026;Matias Racedo Aragon;PUBLICO;CITEX SRL;PANTALON CARGO DEL NORTE H.;U412;E1;48;1;114000
FCV B 0001-00000162;CORDOBA2;26/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;52;1;77400
FCV B 0001-00000120;CORDOBA2;12/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;C4;48;1;69649,9984
FCV B 0001-00000120;CORDOBA2;12/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;48;1;69650,0016
FCV B 0001-00000162;CORDOBA2;26/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;48;-1;-77400
FCV B 0001-00000171;CORDOBA2;30/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;46;1;54180
FCV B 0050-00000011;CORDOBA2;23/04/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO DEL NORTE H.;U412;E1;42;1;102449,3387
FCV B 0001-00000199;CORDOBA2;08/04/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;46;1;69660,0012
FCV B 0050-00000055;CORDOBA2;06/05/2026;Chistian Videla;PUBLICO;CITEX SRL;PANTALON CARGO DEL NORTE H.;U412;E1;42;1;103000
FCV B 0001-00000083;CORDOBA2;03/03/2026;Chistian Videla;MAYORISTA;CITEX SRL;BERMUDA CONDORES PAMPERO;U030;C4;50;1;57900
FCV B 0001-00000128;CORDOBA2;14/03/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;PANTALON CARGO DEL NORTE H.;U412;G1;38;1;102620,7834
FCV B 0001-00000152;CORDOBA2;23/03/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;G1;52;1;69560,9346
FCV B 0001-00000184;CORDOBA2;01/04/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;C4;48;-1;-69875,009
FCV B 0001-00000173;CORDOBA2;30/03/2026;Sofia Perazzo;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;G1;38;1;69700
FCV B 0001-00000171;CORDOBA2;30/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;44;-1;-54180
FCV B 0001-00000147;CORDOBA2;20/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;44;1;54180
FCV B 0001-00000110;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO DEL NORTE HOMBRE;412101002;E1;46;1;101612,6546
FCV B 0050-00000011;CORDOBA2;23/04/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;42;1;69557,7096
FCV B 0050-00000028;CORDOBA2;29/04/2026;Sofia Perazzo;PUBLICO;CITEX SRL;PANTALON CARGO BAGUALES PAMPERO;U029;E1;42;-1;-75654,145
FCV B 0001-00000151;CORDOBA2;21/03/2026;Sofia Perazzo;PUBLICO;CITEX SRL;PANTALON CARGO DEL NORTE HOMBRE;412101002;G0;42;1;101618,2955
FCV B 0001-00000041;CORDOBA2;13/02/2026;Nicolas Urricelqui;PUBLICO;RIEMERSO SA;BERMUDA ROMERILLO PINZADA POPLIN;412124001;C4;48;1;67601,192
FCV B 0001-00000130;CORDOBA2;14/03/2026;Nicolas Urricelqui;MAYORISTA;RIEMERSO SA;PANTALON FELIPE DENIM;412545002;C4;48;1;65338,4393
FCV B 0001-00000130;CORDOBA2;14/03/2026;Nicolas Urricelqui;MAYORISTA;RIEMERSO SA;PANTALON FELIPE DENIM;412545002;C4;46;2;130676,8748
FCV B 0001-00000029;CORDOBA2;11/02/2026;Nicolas Urricelqui;PUBLICO;RIEMERSO SA;BOMBACHA ZENON GABARDINA H.;412506012;G1;42;-1;-63595,0413
FCV B 0001-00000091;CORDOBA2;04/03/2026;Nicolas Urricelqui;PUBLICO;RIEMERSO SA;BOMBACHA ZENON GABARDINA H.;412506012;G1;42;1;76858,2289
FCV B 0001-00000135;CORDOBA2;17/03/2026;Sofia Perazzo;PUBLICO;RIEMERSO SA;BOMBACHA OLIVERA H. POPLIN;U176;C4;52;1;80052,9083
FCV B 0050-00000013;CORDOBA2;24/04/2026;Sofia Perazzo;PUBLICO;RIEMERSO SA;PANTALON FELIPE DENIM;412545002;C4;50;1;83667,1375
FCV B 0050-00000039;CORDOBA2;04/05/2026;Julieta Fernandez;PUBLICO;RIEMERSO SA;PANTALON ORIGEN DENIM;412500058;L1;46;1;82742,8581
FCV B 0001-00000067;CORDOBA2;26/02/2026;Julieta Fernandez;PUBLICO;RIEMERSO SA;PANT. CANDELARIA M. C/LYCRA PAMPERO;U123;C4;44;1;73322,1844
FCV B 0001-00000217;CORDOBA2;14/04/2026;Julieta Fernandez;PUBLICO;RIEMERSO SA;BOMBACHA ALUMINE M.POPLIN PAMP.;U454;G1;40;1;80100,0008
FCV B 0050-00000005;CORDOBA2;18/04/2026;Sofia Perazzo;PUBLICO;RIEMERSO SA;BOMBACHA CORONDA DAMA;U179;G1;36;1;63000
FCV B 0001-00000080;CORDOBA2;03/03/2026;Sofia Perazzo;PUBLICO;RIEMERSO SA;BOMBACHA MORA FANTASIA;812124008;C6;38;1;77399,9989
FCV B 0001-00000223;CORDOBA2;16/04/2026;Julieta Fernandez;PUBLICO;RIEMERSO SA;BOMBACHA OLIVERA H. POPLIN;U176;E1;42;1;80100
FCV B 0050-00000003;CORDOBA2;18/04/2026;Julieta Fernandez;PUBLICO;Armesto Maria Eugenia;BABUCHA ROSAS SOFT SHELL DAMA;712106008;H2;M;1;105000
FEN B 0028-00000061;CORDOBA;11/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;H0;G;1;88000
FEN B 0028-00000439;CORDOBA;04/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;60700
FEN B 0028-00000416;CORDOBA;31/03/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;58900
FEN A 0028-00000153;CORDOBA;14/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;38;1;61000
FEN B 0028-00000581;CORDOBA;17/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;61000
FEN B 0028-00000540;CORDOBA;14/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;61000
FEN A 0028-00000153;CORDOBA;14/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;46;1;61000
FEN B 0028-00000748;CORDOBA;06/05/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;61000
FEN B 0028-00000581;CORDOBA;17/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;-1;-61000
FEN A 0028-00000153;CORDOBA;14/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;50;1;61000
FEN B 0028-00000598;CORDOBA;18/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;48;1;61005,5355
FEN B 0028-00000270;CORDOBA;11/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;58900
FEN B 0028-00000048;CORDOBA;09/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;55940,8353
FEN B 0028-00000474;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;61000
FEN B 0028-00000241;CORDOBA;09/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;55949,9733
FEN B 0028-00000431;CORDOBA;04/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;58900
FEN B 0028-00000496;CORDOBA;09/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;61000
CEN B 0028-00000007;CORDOBA;09/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;-1;-55940,8353
FEN B 0028-00000166;CORDOBA;28/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;58900
FEN B 0028-00000047;CORDOBA;09/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;55940,8353
FEN B 0028-00000016;CORDOBA;04/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;57900
FCV B 0001-00000003;CORDOBA;25/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;58900
FEN B 0028-00000378;CORDOBA;25/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;58900
CEN B 0028-00000017;CORDOBA;25/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;-1;-58900
FEN B 0028-00000123;CORDOBA;23/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;40;1;55952,5038
FEN B 0028-00000670;CORDOBA;27/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;61000
FEN B 0028-00000653;CORDOBA;25/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;38;1;61000
FEN B 0028-00000147;CORDOBA;26/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;38;1;55955,0012
FEN A 0028-00000036;CORDOBA;25/02/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;38;1;49600
FEN B 0028-00000554;CORDOBA;15/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;38;1;61000
FEN A 0028-00000124;CORDOBA;31/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;42;-1;-58900
FEN B 0028-00000653;CORDOBA;25/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;40;1;61000
FEN B 0028-00000116;CORDOBA;21/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;40;1;57949,9994
FEN B 0028-00000653;CORDOBA;25/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;36;1;61000
FEN B 0028-00000684;CORDOBA;28/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;36;-1;-61000
FEN B 0028-00000684;CORDOBA;28/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;36;1;61000
FEN A 0028-00000036;CORDOBA;25/02/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;40;1;49600
FEN B 0028-00000102;CORDOBA;19/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;H0;2MG;1;88000
FEN B 0028-00000342;CORDOBA;20/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;H0;2MG;1;88000
FEN B 0028-00000193;CORDOBA;03/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;40;1;55955,002
FEN B 0028-00000126;CORDOBA;23/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;40;-1;-58704,3159
FEN A 0028-00000208;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;38;-1;-51100
FEN A 0028-00000199;CORDOBA;30/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;38;1;51100
FEN A 0028-00000130;CORDOBA;06/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;38;2;102200
FEN A 0028-00000186;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;38;2;102200
FEN B 0028-00000087;CORDOBA;18/02/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;38;2;117800
FEN A 0028-00000199;CORDOBA;30/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;36;1;51100
FEN B 0028-00000522;CORDOBA;11/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;36;1;61000
FEN A 0028-00000186;CORDOBA;24/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;40;-2;-102200
FEN B 0028-00000341;CORDOBA;20/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;H0;2MG;-1;-84173,9826
FEN A 0028-00000205;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;4;204400
FEN A 0028-00000130;CORDOBA;06/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;2;102200
FEN A 0028-00000079;CORDOBA;18/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;2;99200
FEN A 0028-00000199;CORDOBA;30/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;51100
FEN A 0028-00000208;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;-1;-51100
FEN B 0028-00000063;CORDOBA;12/02/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;56000
FEN A 0028-00000151;CORDOBA;14/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;40;2;99200
FEN A 0028-00000208;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;36;1;51100
FEN A 0028-00000199;CORDOBA;30/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;51100
FEN A 0028-00000208;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;2;102200
FEN A 0028-00000008;CORDOBA;05/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;61000
FEN B 0028-00000274;CORDOBA;12/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;58900
FEN B 0028-00000277;CORDOBA;12/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;58900
FEN B 0028-00000484;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;61000
FEN A 0028-00000036;CORDOBA;25/02/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;44;3;148800
FEN B 0028-00000218;CORDOBA;06/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;58900
FEN B 0028-00000176;CORDOBA;02/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;55925,2548
FEN B 0028-00000569;CORDOBA;15/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;61000
FEN B 0028-00000527;CORDOBA;13/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;61000
FEN B 0028-00000512;CORDOBA;10/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;61000
FEN B 0028-00000218;CORDOBA;06/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;58900
FEN A 0028-00000177;CORDOBA;22/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;61000
FEN A 0028-00000124;CORDOBA;31/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;44;1;58900
FEN A 0028-00000201;CORDOBA;30/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;44;1;51046,1676
FEN A 0028-00000129;CORDOBA;04/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;42;1;60700
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;44;1;49600
FEN A 0028-00000092;CORDOBA;20/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;42;1;49600
FEN A 0028-00000036;CORDOBA;25/02/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;42;1;49600
FEN B 0028-00000641;CORDOBA;24/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;42;1;61000
FEN B 0028-00000663;CORDOBA;27/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;42;1;61000
FEN A 0028-00000069;CORDOBA;13/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;42;1;53007,4531
FEN A 0028-00000142;CORDOBA;08/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP GR (56-60) PAMPERO;U209;E1;60;2;109000
FEN B 0028-00000396;CORDOBA;27/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP GR (56-60) PAMPERO;U209;H2;60;1;64300
FEN B 0028-00000414;CORDOBA;31/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP GR (56-60) PAMPERO;U209;E1;56;1;64300
FEN B 0028-00000735;CORDOBA;05/05/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;54;1;61000
FEN B 0028-00000639;CORDOBA;24/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;54;3;153300
FEN A 0028-00000008;CORDOBA;05/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;52;1;61000
FEN B 0028-00000707;CORDOBA;30/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;52;1;61000
FEN B 0028-00000418;CORDOBA;31/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;52;1;58900
FEN B 0028-00000639;CORDOBA;24/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;54;1;51100
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;54;1;49600
FEN B 0028-00000145;CORDOBA;26/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;58900
FEN B 0028-00000694;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;61000
FEN B 0028-00000194;CORDOBA;03/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;58900
FEN B 0028-00000688;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;61000
FEN B 0028-00000100;CORDOBA;19/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;58900
FEN A 0028-00000201;CORDOBA;30/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;2;102092,3332
FEN A 0028-00000023;CORDOBA;13/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;2;109800
FEN A 0028-00000036;CORDOBA;25/02/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;49600
FEN B 0028-00000057;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;55960
FEN B 0028-00000089;CORDOBA;18/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;58900
FEN B 0028-00000676;CORDOBA;28/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;46;1;61000
